x,y,Exp
-2.892,-3.28,3
-2.316,-2.661,3
-1.837,-2.684,3
-1.256,-2.065,3
-0.835,-1.601,3
-0.305,-1.152,3
0.225,-0.711,3
0.814,-0.138,3
1.289,0.458,3
-4.365,-2.878,2
-3.721,-2.816,2
-3.385,-2.398,2
-2.905,-2.553,2
-2.308,-2.228,2
-1.837,-1.895,2
-1.281,-1.492,2
-0.844,-1.098,2
-0.305,-0.749,2
0.216,-0.37,2
0.814,0.272,2
1.268,0.559,2
1.87,0.868,2
-4.382,-3.303,1
-3.738,-3.559,1
-3.393,-3.35,1
-2.905,-3.536,1
-2.299,-2.986,1
-1.862,-2.483,1
-1.256,-2.336,1
-0.869,-2.142,1
-0.272,-1.307,1
0.233,-0.587,1
0.805,0.033,1
1.285,0.141,1
1.861,0.868,1
